index,home,away,consecutive,datetime,day_of_week,weekend,holiday
323,KIA,키움,3,2023-08-15 17:00:00,화,0,1
326,KIA,한화,3,2023-08-25 18:30:00,금,1,2
329,KIA,NC,3,2023-08-29 18:30:00,화,0,0
332,KIA,LG,3,2023-09-08 18:30:00,금,1,2
335,롯데,KT,3,2023-04-07 18:30:00,금,1,2
338,롯데,LG,3,2023-04-11 18:30:00,화,0,0
341,롯데,KIA,3,2023-04-18 18:30:00,화,0,0
344,롯데,한화,3,2023-04-25 18:30:00,화,0,0
347,롯데,키움,3,2023-04-28 18:30:00,금,1,2
350,롯데,삼성,3,2023-05-05 14:00:00,금,1,4
353,롯데,두산,3,2023-05-09 18:30:00,화,0,0
356,롯데,SSG,3,2023-05-19 18:30:00,금,1,2
359,롯데,NC,3,2023-05-23 18:30:00,화,0,0
362,롯데,KIA,3,2023-06-02 18:30:00,금,1,2
365,롯데,KT,3,2023-06-06 17:00:00,화,0,1
368,롯데,한화,3,2023-06-13 18:30:00,화,0,0
371,롯데,삼성,3,2023-06-27 18:30:00,화,0,0
374,롯데,두산,3,2023-06-30 18:30:00,금,1,2
377,롯데,LG,3,2023-07-07 18:30:00,금,1,2
380,롯데,키움,3,2023-07-21 18:30:00,금,1,2
383,롯데,NC,3,2023-08-01 18:30:00,화,0,0
386,롯데,SSG,3,2023-08-04 18:30:00,금,1,2
389,롯데,KIA,3,2023-08-11 18:30:00,금,1,2
392,롯데,SSG,3,2023-08-15 17:00:00,화,0,1
395,롯데,KT,3,2023-08-25 18:30:00,금,1,2
398,롯데,두산,3,2023-09-01 18:30:00,금,1,2
401,롯데,삼성,3,2023-09-05 18:30:00,화,0,0
403,삼성,NC,2,2023-04-01 14:00:00,토,1,2
406,삼성,한화,3,2023-04-04 18:30:00,화,0,0
409,삼성,SSG,3,2023-04-11 18:30:00,화,0,0
412,삼성,롯데,3,2023-04-14 18:30:00,금,1,2
415,삼성,두산,3,2023-04-25 18:30:00,화,0,0
418,삼성,키움,3,2023-05-02 18:30:00,화,0,0
421,삼성,LG,3,2023-05-12 18:30:00,금,1,2
424,삼성,KIA,3,2023-05-16 18:30:00,화,0,0
427,삼성,KT,3,2023-05-26 18:30:00,금,1,2
430,삼성,NC,3,2023-06-06 17:00:00,화,0,1
433,삼성,롯데,3,2023-06-09 18:30:00,금,1,2
436,삼성,키움,3,2023-06-20 18:30:00,화,0,0
439,삼성,한화,3,2023-06-30 18:30:00,금,1,2
442,삼성,두산,3,2023-07-04 18:30:00,화,0,0
445,삼성,KT,3,2023-07-21 18:30:00,금,1,2
448,삼성,SSG,3,2023-07-25 18:30:00,화,0,0
451,삼성,KIA,3,2023-08-01 18:30:00,화,0,0
457,삼성,LG,6,2023-08-04 18:30:00,금,1,3
460,삼성,KIA,3,2023-08-18 18:30:00,금,1,2
463,삼성,키움,3,2023-08-25 18:30:00,금,1,2
466,삼성,NC,3,2023-09-01 18:30:00,금,1,2
468,두산,롯데,2,2023-04-01 14:00:00,토,1,2
471,두산,NC,3,2023-04-04 18:30:00,화,0,0
474,두산,키움,3,2023-04-11 18:30:00,화,0,0
477,두산,KT,3,2023-04-21 18:30:00,금,1,2
480,두산,한화,3,2023-05-02 18:30:00,화,0,0
483,두산,LG,3,2023-05-05 14:00:00,금,1,4
486,두산,KIA,3,2023-05-12 18:30:00,금,1,2
489,두산,삼성,3,2023-05-23 18:30:00,화,0,0
492,두산,SSG,3,2023-05-26 18:30:00,금,1,2
495,두산,한화,3,2023-06-06 17:00:00,화,0,1
498,두산,KIA,3,2023-06-09 18:30:00,금,1,2
501,두산,SSG,3,2023-06-20 18:30:00,화,0,0
504,두산,NC,3,2023-06-27 18:30:00,화,0,0
507,두산,키움,3,2023-07-07 18:30:00,금,1,2
510,두산,롯데,3,2023-07-25 18:30:00,화,0,0
513,두산,LG,3,2023-07-28 18:30:00,금,1,2
516,두산,KT,3,2023-08-04 18:30:00,금,1,2
519,두산,삼성,3,2023-08-08 18:30:00,화,0,0
522,두산,KT,3,2023-08-15 17:00:00,화,0,1
525,두산,NC,3,2023-08-18 18:30:00,금,1,2
528,두산,SSG,3,2023-08-25 18:30:00,금,1,2
531,두산,KIA,3,2023-09-05 18:30:00,화,0,0
534,두산,삼성,3,2023-09-08 18:30:00,금,1,2
537,한화,SSG,3,2023-04-07 18:30:00,금,1,2
540,한화,두산,3,2023-04-18 18:30:00,화,0,0
543,한화,LG,3,2023-04-21 18:30:00,금,1,2
546,한화,NC,3,2023-04-28 18:30:00,금,1,2
549,한화,KT,3,2023-05-05 14:00:00,금,1,4
552,한화,삼성,3,2023-05-09 18:30:00,화,0,0
555,한화,롯데,3,2023-05-16 18:30:00,화,0,0
558,한화,KIA,3,2023-05-23 18:30:00,화,0,0
561,한화,키움,3,2023-05-30 18:30:00,화,0,0
564,한화,삼성,3,2023-06-02 18:30:00,금,1,2
567,한화,LG,3,2023-06-09 18:30:00,금,1,2
570,한화,키움,3,2023-06-16 18:30:00,금,1,2
573,한화,KIA,3,2023-06-20 18:30:00,화,0,0
576,한화,KT,3,2023-06-27 18:30:00,화,0,0
579,한화,롯데,3,2023-07-04 18:30:00,화,0,0
582,한화,SSG,3,2023-07-07 18:30:00,금,1,2
585,한화,NC,3,2023-07-21 18:30:00,금,1,2
591,한화,두산,6,2023-08-01 18:30:00,화,0,2
594,한화,KT,3,2023-08-18 18:30:00,금,1,2
597,한화,삼성,3,2023-08-22 18:30:00,화,0,0
600,한화,롯데,3,2023-08-29 18:30:00,화,0,0
603,한화,SSG,3,2023-09-05 18:30:00,화,0,0
606,NC,키움,3,2023-04-07 18:30:00,금,1,2
609,NC,KT,3,2023-04-11 18:30:00,화,0,0
612,NC,롯데,3,2023-04-21 18:30:00,금,1,2
615,NC,LG,3,2023-05-02 18:30:00,화,0,0
618,NC,KIA,3,2023-05-05 14:00:00,금,1,4
621,NC,SSG,3,2023-05-16 18:30:00,화,0,0
624,NC,삼성,3,2023-05-19 18:30:00,금,1,2
627,NC,한화,3,2023-05-26 18:30:00,금,1,2
630,NC,두산,3,2023-05-30 18:30:00,화,0,0
633,NC,SSG,3,2023-06-09 18:30:00,금,1,2
636,NC,두산,3,2023-06-13 18:30:00,화,0,0
639,NC,LG,3,2023-06-20 18:30:00,화,0,0
642,NC,한화,3,2023-06-23 18:30:00,금,1,2
645,NC,삼성,3,2023-07-07 18:30:00,금,1,2
648,NC,롯데,3,2023-07-11 18:30:00,화,0,0
651,NC,KIA,3,2023-07-25 18:30:00,화,0,0
654,NC,KT,3,2023-07-28 18:30:00,금,1,2
657,NC,키움,3,2023-08-04 18:30:00,금,1,2
660,NC,한화,3,2023-08-15 17:00:00,화,0,1
663,NC,LG,3,2023-08-25 18:30:00,금,1,2
666,NC,키움,3,2023-09-05 18:30:00,화,0,0
669,NC,롯데,3,2023-09-08 18:30:00,금,1,2
