100,키움,KIA,3,2023-06-15 18:30:00,0,목
101,키움,두산,1,2023-06-23 18:30:00,0,금
102,키움,두산,2,2023-06-24 17:00:00,1,토
103,키움,두산,3,2023-06-25 17:00:00,1,일
104,키움,SSG,1,2023-06-30 18:30:00,0,금
105,키움,SSG,2,2023-07-01 18:00:00,1,토
106,키움,SSG,3,2023-07-02 17:00:00,1,일
107,키움,NC,1,2023-07-04 18:30:00,0,화
108,키움,NC,2,2023-07-05 18:30:00,0,수
109,키움,NC,3,2023-07-06 18:30:00,0,목
110,키움,KT,1,2023-07-11 18:30:00,0,화
111,키움,KT,2,2023-07-12 18:30:00,0,수
112,키움,KT,3,2023-07-13 18:30:00,0,목
113,키움,한화,1,2023-07-25 18:30:00,0,화
114,키움,한화,2,2023-07-26 18:30:00,0,수
115,키움,한화,3,2023-07-27 18:30:00,0,목
116,키움,삼성,1,2023-07-28 18:30:00,0,금
117,키움,삼성,2,2023-07-29 18:00:00,1,토
118,키움,삼성,3,2023-07-30 17:00:00,1,일
119,키움,롯데,1,2023-08-08 18:30:00,0,화
120,키움,롯데,2,2023-08-09 18:30:00,0,수
121,키움,롯데,3,2023-08-10 18:30:00,0,목
122,키움,롯데,4,2023-08-18 18:30:00,0,금
123,키움,롯데,5,2023-08-19 18:00:00,1,토
124,키움,롯데,6,2023-08-20 17:00:00,1,일
125,키움,두산,1,2023-08-22 18:30:00,0,화
126,키움,두산,2,2023-08-23 18:30:00,0,수
127,키움,두산,3,2023-08-24 18:30:00,0,목
128,키움,KT,1,2023-09-01 18:30:00,0,금
129,키움,KT,2,2023-09-02 17:00:00,1,토
130,키움,KT,3,2023-09-03 14:00:00,1,일
131,키움,한화,1,2023-09-08 18:30:00,0,금
132,키움,한화,2,2023-09-09 17:00:00,1,토
133,키움,한화,3,2023-09-10 14:00:00,1,일
134,LG,삼성,1,2023-04-07 18:30:00,0,금
135,LG,삼성,2,2023-04-08 17:00:00,1,토
136,LG,삼성,3,2023-04-09 14:00:00,1,일
137,LG,두산,1,2023-04-14 18:30:00,0,금
138,LG,두산,2,2023-04-15 17:00:00,1,토
139,LG,두산,3,2023-04-16 14:00:00,1,일
140,LG,NC,1,2023-04-18 18:30:00,0,화
141,LG,NC,2,2023-04-19 18:30:00,0,수
142,LG,NC,3,2023-04-20 18:30:00,0,목
143,LG,SSG,1,2023-04-25 18:30:00,0,화
144,LG,SSG,2,2023-04-26 18:30:00,0,수
145,LG,SSG,3,2023-04-27 18:30:00,0,목
146,LG,KIA,1,2023-04-28 18:30:00,0,금
147,LG,KIA,2,2023-04-29 17:00:00,1,토
148,LG,KIA,3,2023-04-30 14:00:00,1,일
149,LG,키움,1,2023-05-09 18:30:00,0,화
150,LG,키움,2,2023-05-10 18:30:00,0,수
151,LG,키움,3,2023-05-11 18:30:00,0,목
152,LG,KT,1,2023-05-16 18:30:00,0,화
153,LG,KT,2,2023-05-17 18:30:00,0,수
154,LG,KT,3,2023-05-18 18:30:00,0,목
155,LG,한화,1,2023-05-19 18:30:00,0,금
156,LG,한화,2,2023-05-20 17:00:00,1,토
157,LG,한화,3,2023-05-21 14:00:00,1,일
158,LG,롯데,1,2023-05-30 18:30:00,0,화
159,LG,롯데,2,2023-05-31 18:30:00,0,수
160,LG,롯데,3,2023-06-01 18:30:00,0,목
161,LG,NC,1,2023-06-02 18:30:00,0,금
162,LG,NC,2,2023-06-03 17:00:00,1,토
163,LG,NC,3,2023-06-04 17:00:00,1,일
164,LG,삼성,1,2023-06-13 18:30:00,0,화
165,LG,삼성,2,2023-06-14 18:30:00,0,수
166,LG,삼성,3,2023-06-15 18:30:00,0,목
167,LG,두산,1,2023-06-16 18:30:00,0,금
